Timestamp,Dispensing Rate (L/min),Status
2024-09-26 13:58:54,2.0,NORMAL
2024-09-26 14:13:54,2.02,NORMAL
2024-09-26 14:28:54,2.81,ANOMALOUS
2024-09-26 14:43:54,2.07,NORMAL
2024-09-26 14:58:54,2.1,NORMAL
2024-09-26 15:13:54,2.12,NORMAL
2024-09-26 15:28:54,2.14,NORMAL
2024-09-26 15:43:54,2.15,NORMAL
2024-09-26 15:58:54,2.17,NORMAL
2024-09-26 16:13:54,2.18,NORMAL
2024-09-26 16:28:54,3.08,ANOMALOUS
2024-09-26 16:43:54,2.2,NORMAL
2024-09-26 16:58:54,2.2,NORMAL
2024-09-26 17:13:54,2.2,NORMAL
2024-09-26 17:28:54,1.11,ANOMALOUS
2024-09-26 17:43:54,2.19,NORMAL
2024-09-26 17:58:54,2.18,NORMAL
2024-09-26 18:13:54,2.17,NORMAL
2024-09-26 18:28:54,2.16,NORMAL
2024-09-26 18:43:54,2.14,NORMAL
2024-09-26 18:58:54,2.12,NORMAL
2024-09-26 19:13:54,1.35,ANOMALOUS
2024-09-26 19:28:54,2.08,NORMAL
2024-09-26 19:43:54,2.05,NORMAL
2024-09-26 19:58:54,2.03,NORMAL
2024-09-26 20:13:54,2.0,NORMAL
2024-09-26 20:28:54,1.98,NORMAL
2024-09-26 20:43:54,1.95,NORMAL
2024-09-26 20:58:54,1.93,NORMAL
2024-09-26 21:13:54,1.91,NORMAL
2024-09-26 21:28:54,1.89,NORMAL
2024-09-26 21:43:54,1.87,NORMAL
2024-09-26 21:58:54,1.85,NORMAL
2024-09-26 22:13:54,1.83,NORMAL
2024-09-26 22:28:54,1.82,NORMAL
2024-09-26 22:43:54,1.38,ANOMALOUS
2024-09-26 22:58:54,1.8,NORMAL
2024-09-26 23:13:54,1.8,NORMAL
2024-09-26 23:28:54,1.8,NORMAL
2024-09-26 23:43:54,1.8,NORMAL
2024-09-26 23:58:54,1.81,NORMAL
2024-09-27 00:13:54,1.82,NORMAL
2024-09-27 00:28:54,1.83,NORMAL
2024-09-27 00:43:54,1.84,NORMAL
2024-09-27 00:58:54,1.86,NORMAL
2024-09-27 01:13:54,1.88,NORMAL
2024-09-27 01:28:54,1.9,NORMAL
2024-09-27 01:43:54,1.92,NORMAL
2024-09-27 01:58:54,1.94,NORMAL
2024-09-27 02:13:54,1.97,NORMAL
2024-09-27 02:28:54,1.99,NORMAL
2024-09-27 02:43:54,2.02,NORMAL
2024-09-27 02:58:54,2.04,NORMAL
2024-09-27 03:13:54,2.07,NORMAL
2024-09-27 03:28:54,2.09,NORMAL
2024-09-27 03:43:54,2.11,NORMAL
2024-09-27 03:58:54,2.13,NORMAL
2024-09-27 04:13:54,2.15,NORMAL
2024-09-27 04:28:54,2.16,NORMAL
2024-09-27 04:43:54,2.18,NORMAL
2024-09-27 04:58:54,2.19,NORMAL
2024-09-27 05:13:54,2.19,NORMAL
2024-09-27 05:28:54,2.2,NORMAL
2024-09-27 05:43:54,2.2,NORMAL
2024-09-27 05:58:54,2.2,NORMAL
2024-09-27 06:13:54,2.19,NORMAL
2024-09-27 06:28:54,2.18,NORMAL
2024-09-27 06:43:54,2.17,NORMAL
2024-09-27 06:58:54,2.16,NORMAL
2024-09-27 07:13:54,1.89,NORMAL
2024-09-27 07:28:54,2.12,NORMAL
2024-09-27 07:43:54,2.1,NORMAL
2024-09-27 07:58:54,2.08,NORMAL
2024-09-27 08:13:54,2.06,NORMAL
2024-09-27 08:28:54,2.03,NORMAL
2024-09-27 08:43:54,2.01,NORMAL
2024-09-27 08:58:54,1.98,NORMAL
2024-09-27 09:13:54,1.96,NORMAL
2024-09-27 09:28:54,1.94,NORMAL
2024-09-27 09:43:54,1.91,NORMAL
2024-09-27 09:58:54,1.89,NORMAL
2024-09-27 10:13:54,1.87,NORMAL
2024-09-27 10:28:54,1.85,NORMAL
2024-09-27 10:43:54,1.84,NORMAL
2024-09-27 10:58:54,1.82,NORMAL
2024-09-27 11:13:54,1.81,NORMAL
2024-09-27 11:28:54,1.81,NORMAL
2024-09-27 11:43:54,1.8,NORMAL
2024-09-27 11:58:54,1.8,NORMAL
2024-09-27 12:13:54,1.8,NORMAL
2024-09-27 12:28:54,1.81,NORMAL
2024-09-27 12:43:54,1.81,NORMAL
2024-09-27 12:58:54,1.82,NORMAL
2024-09-27 13:13:54,1.84,NORMAL
2024-09-27 13:28:54,1.85,NORMAL
2024-09-27 13:43:54,1.87,NORMAL
2024-09-27 13:58:54,1.89,NORMAL
2024-09-27 14:13:54,1.91,NORMAL
2024-09-27 14:28:54,1.94,NORMAL
2024-09-27 14:43:54,1.96,NORMAL
2024-09-27 14:58:54,1.99,NORMAL
2024-09-27 15:13:54,2.01,NORMAL
2024-09-27 15:28:54,2.04,NORMAL
