Timestamp,Water Volume (L),Flow Rate (L/min),Water Volume (L)_Anomalous,Flow Rate (L/min)_Anomalous
55:03.9,0.373574482,FALSE,0.74530274,FALSE
10:03.9,1.457523057,TRUE,0.566396225,FALSE
25:03.9,0.463616011,FALSE,0.442706264,FALSE
40:03.9,0.6048597,FALSE,0.53498115,FALSE
55:03.9,0.393505484,FALSE,0.697240465,FALSE
10:03.9,0.393159711,FALSE,0.715614559,FALSE
25:03.9,1.358240752,TRUE,0.341699231,FALSE
40:03.9,0.578293134,FALSE,0.23635259,FALSE
55:03.9,0.352919546,FALSE,0.220075582,FALSE
10:03.9,0.625436882,FALSE,0.799635477,FALSE
25:03.9,0.595442468,FALSE,0.471315543,FALSE
40:03.9,0.538027231,FALSE,0.390469855,FALSE
55:03.9,0.723806483,FALSE,0.320809927,FALSE
10:03.9,0.25452412,FALSE,0.226449561,FALSE
25:03.9,0.762448406,FALSE,0.306112998,FALSE
40:03.9,0.516739599,FALSE,0.426003166,FALSE
55:03.9,0.393313281,FALSE,0.391949978,FALSE
10:03.9,0.343468861,FALSE,0.616930703,FALSE
25:03.9,0.28303337,FALSE,0.532895492,FALSE
40:03.9,0.711430955,FALSE,0.373891449,FALSE
55:03.9,0.447162455,FALSE,0.812257668,FALSE
10:03.9,0.635891297,FALSE,0.308438291,FALSE
25:03.9,0.440974048,FALSE,0.234338809,FALSE
40:03.9,0.167575301,FALSE,0.627906217,FALSE
55:03.9,0.427696088,FALSE,0.689200946,FALSE
10:03.9,0.40286409,FALSE,0.070083039,FALSE
25:03.9,0.241766247,FALSE,0.493403894,FALSE
40:03.9,1.304962864,TRUE,0.301611032,FALSE
55:03.9,0.635474664,FALSE,0.331890237,FALSE
10:03.9,0.430388851,FALSE,0.566544245,FALSE
25:03.9,0.731612105,FALSE,0.274921442,FALSE
40:03.9,1.49128517,TRUE,0.407819363,FALSE
55:03.9,0.521228261,FALSE,0.623846135,FALSE
10:03.9,0.205662747,FALSE,0.628382975,FALSE
25:03.9,0.365365482,FALSE,0.483850455,FALSE
40:03.9,0.261449662,FALSE,0.355355677,FALSE
55:03.9,0.788738545,FALSE,0.310957882,FALSE
10:03.9,0.456785253,FALSE,0.349952068,FALSE
25:03.9,1.243116258,TRUE,0.646982108,FALSE
40:03.9,0.639003823,FALSE,0.392416941,FALSE
55:03.9,0.619857369,FALSE,0.780917789,FALSE
10:03.9,0.436583133,FALSE,0.747105972,FALSE
25:03.9,0.687090031,FALSE,0.488712916,FALSE
40:03.9,0.532705742,FALSE,0.601038681,FALSE
55:03.9,0.700236435,FALSE,0.170439835,FALSE
10:03.9,0.701815207,FALSE,0.530768118,FALSE
25:03.9,0.684522018,FALSE,0.695614963,FALSE
40:03.9,0.437212841,FALSE,1.075476898,TRUE
55:03.9,0.24409711,FALSE,0.228381226,FALSE
10:03.9,0.662006535,FALSE,0.287151955,FALSE
25:03.9,0.24995662,FALSE,0.745805227,FALSE
40:03.9,0.617754702,FALSE,0.366675303,FALSE
55:03.9,0.42150301,FALSE,0.76668605,FALSE
10:03.9,0.787948559,FALSE,0.370936309,FALSE
25:03.9,0.609526552,FALSE,0.441627017,FALSE
40:03.9,0.595991634,FALSE,0.562904321,FALSE
55:03.9,0.394266058,FALSE,0.614429675,FALSE
10:03.9,1.454347125,TRUE,0.26348443,FALSE
25:03.9,0.36337317,FALSE,0.312415546,FALSE
40:03.9,0.207384582,FALSE,0.671751533,FALSE
55:03.9,0.450587054,FALSE,0.776527845,FALSE
10:03.9,0.671630499,FALSE,-0.177867686,TRUE
25:03.9,0.752292768,FALSE,1.116588131,TRUE
40:03.9,0.450173014,FALSE,0.524328564,FALSE
55:03.9,0.384939407,FALSE,0.743310195,FALSE
10:03.9,0.539675355,FALSE,0.217590833,FALSE
25:03.9,0.230265614,FALSE,-0.005441102,TRUE
40:03.9,0.691148091,FALSE,0.423736289,FALSE
55:03.9,0.643439368,FALSE,0.20310877,FALSE
10:03.9,0.604038599,FALSE,0.216633372,FALSE
25:03.9,0.448509987,FALSE,1.200562712,TRUE
40:03.9,0.319054031,FALSE,0.250075172,FALSE
55:03.9,0.57666469,FALSE,0.544254461,FALSE
