Timestamp,Dispensing Rate (L/min),Status
2024-09-26 13:55:29,2.77,ANOMALOUS
2024-09-26 14:10:29,2.02,NORMAL
2024-09-26 14:25:29,2.05,NORMAL
2024-09-26 14:40:29,2.07,NORMAL
2024-09-26 14:55:29,2.1,NORMAL
2024-09-26 15:10:29,2.12,NORMAL
2024-09-26 15:25:29,2.14,NORMAL
2024-09-26 15:40:29,2.15,NORMAL
2024-09-26 15:55:29,2.17,NORMAL
2024-09-26 16:10:29,2.18,NORMAL
2024-09-26 16:25:29,2.19,NORMAL
2024-09-26 16:40:29,2.2,NORMAL
2024-09-26 16:55:29,2.2,NORMAL
2024-09-26 17:10:29,2.2,NORMAL
2024-09-26 17:25:29,2.2,NORMAL
2024-09-26 17:40:29,2.19,NORMAL
2024-09-26 17:55:29,2.18,NORMAL
2024-09-26 18:10:29,2.17,NORMAL
2024-09-26 18:25:29,2.16,NORMAL
2024-09-26 18:40:29,2.14,NORMAL
2024-09-26 18:55:29,2.12,NORMAL
2024-09-26 19:10:29,2.1,NORMAL
2024-09-26 19:25:29,2.08,NORMAL
2024-09-26 19:40:29,2.05,NORMAL
2024-09-26 19:55:29,2.03,NORMAL
2024-09-26 20:10:29,2.0,NORMAL
2024-09-26 20:25:29,1.98,NORMAL
2024-09-26 20:40:29,1.95,NORMAL
2024-09-26 20:55:29,1.93,NORMAL
2024-09-26 21:10:29,1.91,NORMAL
2024-09-26 21:25:29,1.89,NORMAL
2024-09-26 21:40:29,1.87,NORMAL
2024-09-26 21:55:29,1.85,NORMAL
2024-09-26 22:10:29,1.83,NORMAL
2024-09-26 22:25:29,1.82,NORMAL
2024-09-26 22:40:29,1.81,NORMAL
2024-09-26 22:55:29,1.8,NORMAL
2024-09-26 23:10:29,1.8,NORMAL
2024-09-26 23:25:29,1.8,NORMAL
2024-09-26 23:40:29,1.8,NORMAL
2024-09-26 23:55:29,1.81,NORMAL
2024-09-27 00:10:29,1.82,NORMAL
2024-09-27 00:25:29,1.83,NORMAL
2024-09-27 00:40:29,1.84,NORMAL
2024-09-27 00:55:29,1.86,NORMAL
2024-09-27 01:10:29,1.88,NORMAL
2024-09-27 01:25:29,1.9,NORMAL
2024-09-27 01:40:29,1.92,NORMAL
2024-09-27 01:55:29,1.94,NORMAL
2024-09-27 02:10:29,1.97,NORMAL
2024-09-27 02:25:29,1.99,NORMAL
2024-09-27 02:40:29,2.02,NORMAL
2024-09-27 02:55:29,2.04,NORMAL
2024-09-27 03:10:29,2.07,NORMAL
2024-09-27 03:25:29,2.09,NORMAL
2024-09-27 03:40:29,2.11,NORMAL
2024-09-27 03:55:29,2.13,NORMAL
2024-09-27 04:10:29,2.15,NORMAL
2024-09-27 04:25:29,2.16,NORMAL
2024-09-27 04:40:29,2.18,NORMAL
2024-09-27 04:55:29,2.19,NORMAL
2024-09-27 05:10:29,2.19,NORMAL
2024-09-27 05:25:29,2.2,NORMAL
2024-09-27 05:40:29,2.64,ANOMALOUS
2024-09-27 05:55:29,2.2,NORMAL
2024-09-27 06:10:29,2.19,NORMAL
2024-09-27 06:25:29,2.18,NORMAL
2024-09-27 06:40:29,2.17,NORMAL
2024-09-27 06:55:29,2.16,NORMAL
2024-09-27 07:10:29,2.14,NORMAL
2024-09-27 07:25:29,2.12,NORMAL
2024-09-27 07:40:29,2.1,NORMAL
2024-09-27 07:55:29,2.08,NORMAL
2024-09-27 08:10:29,2.06,NORMAL
2024-09-27 08:25:29,2.03,NORMAL
2024-09-27 08:40:29,2.01,NORMAL
2024-09-27 08:55:29,1.98,NORMAL
2024-09-27 09:10:29,1.96,NORMAL
2024-09-27 09:25:29,1.94,NORMAL
2024-09-27 09:40:29,1.91,NORMAL
2024-09-27 09:55:29,1.89,NORMAL
2024-09-27 10:10:29,1.87,NORMAL
2024-09-27 10:25:29,1.85,NORMAL
2024-09-27 10:40:29,1.84,NORMAL
2024-09-27 10:55:29,1.82,NORMAL
2024-09-27 11:10:29,1.81,NORMAL
2024-09-27 11:25:29,1.81,NORMAL
2024-09-27 11:40:29,1.8,NORMAL
2024-09-27 11:55:29,0.93,ANOMALOUS
2024-09-27 12:10:29,1.8,NORMAL
2024-09-27 12:25:29,1.81,NORMAL
2024-09-27 12:40:29,1.81,NORMAL
2024-09-27 12:55:29,1.82,NORMAL
2024-09-27 13:10:29,1.84,NORMAL
2024-09-27 13:25:29,1.85,NORMAL
2024-09-27 13:40:29,1.87,NORMAL
2024-09-27 13:55:29,1.89,NORMAL
2024-09-27 14:10:29,1.91,NORMAL
2024-09-27 14:25:29,1.94,NORMAL
2024-09-27 14:40:29,1.96,NORMAL
2024-09-27 14:55:29,1.99,NORMAL
2024-09-27 15:10:29,2.01,NORMAL
2024-09-27 15:25:29,2.09,NORMAL
2024-09-27 15:40:29,2.06,NORMAL
2024-09-27 15:55:29,2.08,NORMAL
2024-09-27 16:10:29,2.99,ANOMALOUS
2024-09-27 16:25:29,2.13,NORMAL
2024-09-27 16:40:29,2.14,NORMAL
2024-09-27 16:55:29,2.16,NORMAL
2024-09-27 17:10:29,2.17,NORMAL
2024-09-27 17:25:29,2.19,NORMAL
2024-09-27 17:40:29,2.19,NORMAL
2024-09-27 17:55:29,2.2,NORMAL
2024-09-27 18:10:29,2.2,NORMAL
2024-09-27 18:25:29,2.2,NORMAL
2024-09-27 18:40:29,2.19,NORMAL
2024-09-27 18:55:29,2.19,NORMAL
2024-09-27 19:10:29,2.18,NORMAL
2024-09-27 19:25:29,2.16,NORMAL
2024-09-27 19:40:29,2.15,NORMAL
2024-09-27 19:55:29,2.13,NORMAL
2024-09-27 20:10:29,2.11,NORMAL
2024-09-27 20:25:29,2.09,NORMAL
2024-09-27 20:40:29,2.07,NORMAL
2024-09-27 20:55:29,2.94,ANOMALOUS
2024-09-27 21:10:29,2.02,NORMAL
2024-09-27 21:25:29,1.99,NORMAL
2024-09-27 21:40:29,1.97,NORMAL
2024-09-27 21:55:29,1.94,NORMAL
2024-09-27 22:10:29,1.92,NORMAL
2024-09-27 22:25:29,1.9,NORMAL
2024-09-27 22:40:29,1.88,NORMAL
