Timestamp,Water Volume (L),Flow Rate (L/min),Status
2024-09-26 13:55:29,997.5,10.0,NORMAL
2024-09-26 14:10:29,994.98,10.08,NORMAL
2024-09-26 14:25:29,992.44,10.16,NORMAL
2024-09-26 14:40:29,989.88,10.24,NORMAL
2024-09-26 14:55:29,987.3,10.31,NORMAL
2024-09-26 15:10:29,984.71,10.37,NORMAL
2024-09-26 15:25:29,982.1,10.42,NORMAL
2024-09-26 15:40:29,979.49,10.46,NORMAL
2024-09-26 15:55:29,976.87,10.49,NORMAL
2024-09-26 16:10:29,974.24,10.5,NORMAL
2024-09-26 16:25:29,971.62,10.5,NORMAL
2024-09-26 16:40:29,969.0,10.48,NORMAL
2024-09-26 16:55:29,966.38,10.45,NORMAL
2024-09-26 17:10:29,963.78,10.41,NORMAL
2024-09-26 17:25:29,961.19,10.36,NORMAL
2024-09-26 17:40:29,958.61,10.3,NORMAL
2024-09-26 17:55:29,956.06,10.23,NORMAL
2024-09-26 18:10:29,953.52,10.15,NORMAL
2024-09-26 18:25:29,951.0,10.07,NORMAL
2024-09-26 18:40:29,948.51,9.99,NORMAL
2024-09-26 18:55:29,946.03,9.9,NORMAL
2024-09-26 19:10:29,943.57,9.82,NORMAL
2024-09-26 19:25:29,941.14,9.75,NORMAL
2024-09-26 19:40:29,938.72,10.84,NORMAL
2024-09-26 19:55:29,936.31,9.62,NORMAL
2024-09-26 20:10:29,933.92,9.57,NORMAL
2024-09-26 20:25:29,931.53,9.54,NORMAL
2024-09-26 20:40:29,929.16,9.51,NORMAL
2024-09-26 20:55:29,926.78,9.5,NORMAL
2024-09-26 21:10:29,924.4,7.49,ANOMALOUS
2024-09-26 21:25:29,922.02,9.52,NORMAL
2024-09-26 21:40:29,919.64,9.55,NORMAL
2024-09-26 21:55:29,917.24,9.59,NORMAL
2024-09-26 22:10:29,914.83,9.65,NORMAL
2024-09-26 22:25:29,912.4,9.71,NORMAL
2024-09-26 22:40:29,909.95,9.78,NORMAL
2024-09-26 22:55:29,907.49,9.86,NORMAL
2024-09-26 23:10:29,905.0,9.94,NORMAL
2024-09-26 23:25:29,902.5,10.03,NORMAL
2024-09-26 23:40:29,899.97,10.11,NORMAL
2024-09-26 23:55:29,897.42,10.19,NORMAL
2024-09-27 00:10:29,894.86,10.26,NORMAL
2024-09-27 00:25:29,892.27,10.33,NORMAL
2024-09-27 00:40:29,889.68,10.39,NORMAL
2024-09-27 00:55:29,887.07,10.43,NORMAL
2024-09-27 01:10:29,884.45,10.47,NORMAL
2024-09-27 01:25:29,881.83,10.49,NORMAL
2024-09-27 01:40:29,879.2,10.5,NORMAL
2024-09-27 01:55:29,876.58,10.49,NORMAL
2024-09-27 02:10:29,873.96,10.48,NORMAL
2024-09-27 02:25:29,871.35,10.44,NORMAL
2024-09-27 02:40:29,868.75,10.4,NORMAL
2024-09-27 02:55:29,866.17,10.34,NORMAL
2024-09-27 03:10:29,863.6,10.28,NORMAL
2024-09-27 03:25:29,861.04,10.21,NORMAL
2024-09-27 03:40:29,858.51,10.13,NORMAL
2024-09-27 03:55:29,856.0,10.05,NORMAL
2024-09-27 04:10:29,853.51,10.33,NORMAL
2024-09-27 04:25:29,851.04,9.88,NORMAL
2024-09-27 04:40:29,848.59,9.8,NORMAL
2024-09-27 04:55:29,846.16,9.73,NORMAL
2024-09-27 05:10:29,843.74,9.66,NORMAL
2024-09-27 05:25:29,841.34,9.61,NORMAL
2024-09-27 05:40:29,838.95,9.56,NORMAL
2024-09-27 05:55:29,836.57,9.53,NORMAL
2024-09-27 06:10:29,834.19,9.51,NORMAL
2024-09-27 06:25:29,831.82,9.5,NORMAL
2024-09-27 06:40:29,829.44,9.51,NORMAL
2024-09-27 06:55:29,827.06,9.53,NORMAL
2024-09-27 07:10:29,824.67,9.56,NORMAL
2024-09-27 07:25:29,822.27,9.61,NORMAL
2024-09-27 07:40:29,819.85,9.67,NORMAL
2024-09-27 07:55:29,817.42,9.73,NORMAL
2024-09-27 08:10:29,814.97,9.81,NORMAL
2024-09-27 08:25:29,812.49,8.83,NORMAL
2024-09-27 08:40:29,810.0,9.97,NORMAL
2024-09-27 08:55:29,807.49,10.05,NORMAL
2024-09-27 09:10:29,804.96,10.13,NORMAL
2024-09-27 09:25:29,802.4,10.21,NORMAL
2024-09-27 09:40:29,799.83,10.28,NORMAL
2024-09-27 09:55:29,797.25,10.35,NORMAL
2024-09-27 10:10:29,794.65,10.4,NORMAL
2024-09-27 10:25:29,792.04,10.45,NORMAL
2024-09-27 10:40:29,789.42,10.48,NORMAL
2024-09-27 10:55:29,786.79,10.5,NORMAL
2024-09-27 11:10:29,784.17,10.5,NORMAL
2024-09-27 11:25:29,781.54,10.49,NORMAL
2024-09-27 11:40:29,778.93,10.47,NORMAL
2024-09-27 11:55:29,776.32,10.43,NORMAL
2024-09-27 12:10:29,773.72,10.38,NORMAL
2024-09-27 12:25:29,771.14,10.33,NORMAL
2024-09-27 12:40:29,768.58,10.26,NORMAL
2024-09-27 12:55:29,766.03,10.18,NORMAL
2024-09-27 13:10:29,763.51,13.81,ANOMALOUS
2024-09-27 13:25:29,761.0,10.02,NORMAL
2024-09-27 13:40:29,758.52,9.94,NORMAL
2024-09-27 13:55:29,756.05,9.86,NORMAL
2024-09-27 14:10:29,753.61,9.78,NORMAL
2024-09-27 14:25:29,751.18,9.71,NORMAL
2024-09-27 14:40:29,748.77,9.64,NORMAL
2024-09-27 14:55:29,746.37,9.59,NORMAL
2024-09-27 15:10:29,743.99,9.55,NORMAL
2024-09-27 15:25:29,741.61,9.52,NORMAL
