Timestamp,pH,Conductivity,Chlorine,Status
9/26/2024 13:55,7.5,200,1,NORMAL
9/26/2024 14:10,7.51,201.99,1.01,NORMAL
9/26/2024 14:25,7.52,243.31,1.01,ANOMALOUS
9/26/2024 14:40,7.53,205.65,1.02,NORMAL
9/26/2024 14:55,7.54,207.17,1.03,NORMAL
9/26/2024 15:10,7.55,208.41,1.03,NORMAL
9/26/2024 15:25,7.56,209.32,1.04,NORMAL
9/26/2024 15:40,7.56,209.85,1.04,NORMAL
9/26/2024 15:55,7.57,210,1.05,NORMAL
9/26/2024 16:10,7.58,209.74,1.05,NORMAL
9/26/2024 16:25,7.58,209.09,1.05,NORMAL
9/26/2024 16:40,7.59,208.08,1.05,NORMAL
9/26/2024 16:55,7.59,206.75,1.05,NORMAL
9/26/2024 17:10,7.6,205.16,1.05,NORMAL
9/26/2024 17:25,7.6,203.35,1.05,NORMAL
9/26/2024 17:40,7.6,201.41,1.04,NORMAL
9/26/2024 17:55,7.6,199.42,1.04,NORMAL
9/26/2024 18:10,7.6,201.41,1.1,NORMAL
9/26/2024 18:25,7.6,195.57,1.03,NORMAL
9/26/2024 18:40,7.59,193.88,1.02,NORMAL
9/26/2024 18:55,7.59,192.43,1.01,NORMAL
9/26/2024 19:10,7.59,191.28,1.01,NORMAL
9/26/2024 19:25,7.58,190.48,1,NORMAL
9/26/2024 19:40,7.57,205.69,0.99,NORMAL
9/26/2024 19:55,7.57,190.04,0.99,NORMAL
9/26/2024 20:10,7.56,190.41,1.25,ANOMALOUS
9/26/2024 20:25,7.55,191.17,0.97,NORMAL
9/26/2024 20:40,7.54,192.27,0.97,NORMAL
9/26/2024 20:55,7.53,193.69,0.96,NORMAL
9/26/2024 21:10,7.52,195.35,0.96,NORMAL
9/26/2024 21:25,7.51,197.21,0.95,NORMAL
9/26/2024 21:40,7.5,199.17,0.95,NORMAL
9/26/2024 21:55,7.49,201.17,0.95,NORMAL
9/26/2024 22:10,7.48,203.12,0.95,NORMAL
9/26/2024 22:25,7.47,204.94,0.55,ANOMALOUS
9/26/2024 22:40,7.46,206.57,0.95,NORMAL
9/26/2024 22:55,7.46,207.94,0.95,NORMAL
9/26/2024 23:10,7.45,208.99,0.96,NORMAL
9/26/2024 23:25,7.44,209.68,0.96,NORMAL
9/26/2024 23:40,7.43,209.99,0.97,NORMAL
9/26/2024 23:55,7.42,209.89,0.97,NORMAL
9/27/2024 0:10,7.42,209.41,0.98,NORMAL
9/27/2024 0:25,7.41,208.55,0.99,NORMAL
9/27/2024 0:40,7.41,207.34,0.99,NORMAL
9/27/2024 0:55,7.4,205.85,1,NORMAL
9/27/2024 1:10,7.4,204.12,1.01,NORMAL
9/27/2024 1:25,7.4,202.23,1.01,NORMAL
9/27/2024 1:40,7.4,200.25,1.02,NORMAL
9/27/2024 1:55,7.4,198.26,1.03,NORMAL
9/27/2024 2:10,7.4,196.34,1.03,NORMAL
