Timestamp,Contamination,Filter Efficiency,Status
9/26/2024 13:58,2,98,NORMAL
9/26/2024 14:13,2.08,98.06,NORMAL
9/26/2024 14:28,2.17,98.12,NORMAL
9/26/2024 14:43,2.25,98.18,NORMAL
9/26/2024 14:58,2.33,98.24,NORMAL
9/26/2024 15:13,2.4,98.29,NORMAL
9/26/2024 15:28,2.48,98.34,NORMAL
9/26/2024 15:43,2.55,70.53,ANOMALOUS
9/26/2024 15:58,2.62,98.42,NORMAL
9/26/2024 16:13,2.68,98.45,NORMAL
9/26/2024 16:28,2.74,98.47,NORMAL
9/26/2024 16:43,2.79,98.49,NORMAL
9/26/2024 16:58,2.84,98.5,NORMAL
9/26/2024 17:13,2.88,98.5,NORMAL
9/26/2024 17:28,2.92,98.49,NORMAL
9/26/2024 17:43,2.95,98.48,NORMAL
9/26/2024 17:58,2.97,98.45,NORMAL
9/26/2024 18:13,2.99,98.43,NORMAL
9/26/2024 18:28,3,98.39,NORMAL
9/26/2024 18:43,3,98.35,NORMAL
9/26/2024 18:58,3,98.3,NORMAL
9/26/2024 19:13,2.98,98.25,NORMAL
9/26/2024 19:28,2.97,98.19,NORMAL
9/26/2024 19:43,2.94,98.13,NORMAL
9/26/2024 19:58,2.91,98.07,NORMAL
9/26/2024 20:13,2.87,98.01,NORMAL
9/26/2024 20:28,2.83,97.95,NORMAL
9/26/2024 20:43,2.78,97.88,NORMAL
9/26/2024 20:58,2.72,97.82,NORMAL
9/26/2024 21:13,2.66,97.77,NORMAL
9/26/2024 21:28,2.6,94.46,ANOMALOUS
9/26/2024 21:43,2.53,97.67,NORMAL
9/26/2024 21:58,2.46,97.62,NORMAL
9/26/2024 22:13,2.38,97.58,NORMAL
9/26/2024 22:28,2.3,97.55,NORMAL
9/26/2024 22:43,2.22,97.53,NORMAL
9/26/2024 22:58,2.14,111.24,ANOMALOUS
9/26/2024 23:13,2.06,97.5,NORMAL
9/26/2024 23:28,1.97,97.5,NORMAL
9/26/2024 23:43,1.89,97.51,NORMAL
9/26/2024 23:58,1.81,97.52,NORMAL
9/27/2024 0:13,1.73,97.54,NORMAL
9/27/2024 0:28,1.65,97.57,NORMAL
9/27/2024 0:43,1.57,97.61,NORMAL
9/27/2024 0:58,1.5,97.65,NORMAL
9/27/2024 1:13,1.43,97.69,NORMAL
9/27/2024 1:28,1.36,97.75,NORMAL
9/27/2024 1:43,1.3,102.27,ANOMALOUS
9/27/2024 1:58,1.24,97.86,NORMAL
9/27/2024 2:13,1.19,97.92,NORMAL
9/27/2024 2:28,1.15,97.98,NORMAL
9/27/2024 2:43,1.11,98.05,NORMAL
9/27/2024 2:58,1.07,98.11,NORMAL
9/27/2024 3:13,1.04,98.17,NORMAL
9/27/2024 3:28,1.02,98.23,NORMAL
9/27/2024 3:43,1.01,98.28,NORMAL
9/27/2024 3:58,1,98.33,NORMAL
9/27/2024 4:13,1,98.37,NORMAL
9/27/2024 4:28,1.27,98.41,NORMAL
9/27/2024 4:43,1.02,98.44,NORMAL
9/27/2024 4:58,0.98,98.47,NORMAL
9/27/2024 5:13,1.07,98.49,NORMAL
9/27/2024 5:28,1.1,98.5,NORMAL
9/27/2024 5:43,1.14,98.5,NORMAL
9/27/2024 5:58,1.19,98.49,NORMAL
9/27/2024 6:13,1.24,98.48,NORMAL
9/27/2024 6:28,1.29,98.46,NORMAL
9/27/2024 6:43,1.36,98.43,NORMAL
9/27/2024 6:58,1.42,98.4,NORMAL
9/27/2024 7:13,1.56,98.36,NORMAL
9/27/2024 7:28,1.57,98.31,NORMAL
9/27/2024 7:43,1.64,98.26,NORMAL
9/27/2024 7:58,1.72,98.21,NORMAL
9/27/2024 8:13,1.8,98.15,NORMAL
9/27/2024 8:28,1.88,98.09,NORMAL
9/27/2024 8:43,1.97,98.02,NORMAL
9/27/2024 8:58,2.05,97.96,NORMAL
9/27/2024 9:13,2.13,80.24,ANOMALOUS
9/27/2024 9:28,2.22,97.84,NORMAL
9/27/2024 9:43,2.3,97.78,NORMAL
9/27/2024 9:58,2.37,97.73,NORMAL
9/27/2024 10:13,1.72,97.68,NORMAL
9/27/2024 10:28,3.21,97.63,NORMAL
9/27/2024 10:43,2.59,97.59,NORMAL
9/27/2024 10:58,2.66,97.56,NORMAL
9/27/2024 11:13,2.72,97.53,NORMAL
9/27/2024 11:28,2.77,97.52,NORMAL
9/27/2024 11:43,2.82,97.5,NORMAL
9/27/2024 11:58,2.87,97.5,NORMAL
9/27/2024 12:13,2.91,97.5,NORMAL
9/27/2024 12:28,2.94,97.52,NORMAL
9/27/2024 12:43,2.96,97.54,NORMAL
9/27/2024 12:58,2.98,86.14,ANOMALOUS
9/27/2024 13:13,2.99,97.6,NORMAL
9/27/2024 13:28,3,97.64,NORMAL
9/27/2024 13:43,3,97.68,NORMAL
9/27/2024 13:58,2.99,97.73,NORMAL
9/27/2024 14:13,2.97,97.79,NORMAL
9/27/2024 14:28,2.95,97.84,NORMAL
9/27/2024 14:43,2.92,97.9,NORMAL
9/27/2024 14:58,2.89,97.97,NORMAL
9/27/2024 15:13,2.85,98.03,NORMAL
9/27/2024 15:28,2.8,98.09,NORMAL
9/27/2024 15:43,2.75,98.15,NORMAL
9/27/2024 15:58,2.69,98.21,NORMAL
9/27/2024 16:13,2.62,98.27,NORMAL
9/27/2024 16:28,2.56,98.32,NORMAL
9/27/2024 16:43,2.49,98.36,NORMAL
9/27/2024 16:58,2.41,98.4,NORMAL
9/27/2024 17:13,2.33,98.44,NORMAL
9/27/2024 17:28,2.26,98.46,NORMAL
9/27/2024 17:43,2.17,98.48,NORMAL
9/27/2024 17:58,2.09,98.5,NORMAL
9/27/2024 18:13,2.01,98.5,NORMAL
9/27/2024 18:28,1.92,98.5,NORMAL
9/27/2024 18:43,1.84,98.49,NORMAL
9/27/2024 18:58,1.76,98.47,NORMAL
9/27/2024 19:13,1.68,98.44,NORMAL
9/27/2024 19:28,1.6,98.41,NORMAL
9/27/2024 19:43,1.53,98.37,NORMAL
9/27/2024 19:58,1.46,98.33,NORMAL
9/27/2024 20:13,1.39,98.28,NORMAL
9/27/2024 20:28,1.32,98.22,NORMAL
9/27/2024 20:43,1.27,98.16,NORMAL
9/27/2024 20:58,1.21,98.1,NORMAL
9/27/2024 21:13,1.16,98.04,NORMAL
9/27/2024 21:28,1.12,97.98,NORMAL
9/27/2024 21:43,1.08,97.92,NORMAL
