Timestamp,Contamination (%),Filter Efficiency (%),Status
2024-09-26 13:58:54,2.0,98.0,NORMAL
2024-09-26 14:13:54,2.08,98.06,NORMAL
2024-09-26 14:28:54,2.17,98.12,NORMAL
2024-09-26 14:43:54,2.25,98.18,NORMAL
2024-09-26 14:58:54,2.33,98.24,NORMAL
2024-09-26 15:13:54,2.4,98.29,NORMAL
2024-09-26 15:28:54,2.48,98.34,NORMAL
2024-09-26 15:43:54,2.55,70.53,ANOMALOUS
2024-09-26 15:58:54,2.62,98.42,NORMAL
2024-09-26 16:13:54,2.68,98.45,NORMAL
2024-09-26 16:28:54,2.74,98.47,NORMAL
2024-09-26 16:43:54,2.79,98.49,NORMAL
2024-09-26 16:58:54,2.84,98.5,NORMAL
2024-09-26 17:13:54,2.88,98.5,NORMAL
2024-09-26 17:28:54,2.92,98.49,NORMAL
2024-09-26 17:43:54,2.95,98.48,NORMAL
2024-09-26 17:58:54,2.97,98.45,NORMAL
2024-09-26 18:13:54,2.99,98.43,NORMAL
2024-09-26 18:28:54,3.0,98.39,NORMAL
2024-09-26 18:43:54,3.0,98.35,NORMAL
2024-09-26 18:58:54,3.0,98.3,NORMAL
2024-09-26 19:13:54,2.98,98.25,NORMAL
2024-09-26 19:28:54,2.97,98.19,NORMAL
2024-09-26 19:43:54,2.94,98.13,NORMAL
2024-09-26 19:58:54,2.91,98.07,NORMAL
2024-09-26 20:13:54,2.87,98.01,NORMAL
2024-09-26 20:28:54,2.83,97.95,NORMAL
2024-09-26 20:43:54,2.78,97.88,NORMAL
2024-09-26 20:58:54,2.72,97.82,NORMAL
2024-09-26 21:13:54,2.66,97.77,NORMAL
2024-09-26 21:28:54,2.6,94.46,ANOMALOUS
2024-09-26 21:43:54,2.53,97.67,NORMAL
2024-09-26 21:58:54,2.46,97.62,NORMAL
2024-09-26 22:13:54,2.38,97.58,NORMAL
2024-09-26 22:28:54,2.3,97.55,NORMAL
2024-09-26 22:43:54,2.22,97.53,NORMAL
2024-09-26 22:58:54,2.14,111.24,ANOMALOUS
2024-09-26 23:13:54,2.06,97.5,NORMAL
2024-09-26 23:28:54,1.97,97.5,NORMAL
2024-09-26 23:43:54,1.89,97.51,NORMAL
2024-09-26 23:58:54,1.81,97.52,NORMAL
2024-09-27 00:13:54,1.73,97.54,NORMAL
2024-09-27 00:28:54,1.65,97.57,NORMAL
2024-09-27 00:43:54,1.57,97.61,NORMAL
2024-09-27 00:58:54,1.5,97.65,NORMAL
2024-09-27 01:13:54,1.43,97.69,NORMAL
2024-09-27 01:28:54,1.36,97.75,NORMAL
2024-09-27 01:43:54,1.3,102.27,ANOMALOUS
2024-09-27 01:58:54,1.24,97.86,NORMAL
2024-09-27 02:13:54,1.19,97.92,NORMAL
2024-09-27 02:28:54,1.15,97.98,NORMAL
2024-09-27 02:43:54,1.11,98.05,NORMAL
2024-09-27 02:58:54,1.07,98.11,NORMAL
2024-09-27 03:13:54,1.04,98.17,NORMAL
2024-09-27 03:28:54,1.02,98.23,NORMAL
2024-09-27 03:43:54,1.01,98.28,NORMAL
2024-09-27 03:58:54,1.0,98.33,NORMAL
2024-09-27 04:13:54,1.0,98.37,NORMAL
2024-09-27 04:28:54,1.27,98.41,NORMAL
2024-09-27 04:43:54,1.02,98.44,NORMAL
2024-09-27 04:58:54,0.98,98.47,NORMAL
2024-09-27 05:13:54,1.07,98.49,NORMAL
2024-09-27 05:28:54,1.1,98.5,NORMAL
2024-09-27 05:43:54,1.14,98.5,NORMAL
2024-09-27 05:58:54,1.19,98.49,NORMAL
2024-09-27 06:13:54,1.24,98.48,NORMAL
2024-09-27 06:28:54,1.29,98.46,NORMAL
2024-09-27 06:43:54,1.36,98.43,NORMAL
2024-09-27 06:58:54,1.42,98.4,NORMAL
2024-09-27 07:13:54,1.56,98.36,NORMAL
2024-09-27 07:28:54,1.57,98.31,NORMAL
2024-09-27 07:43:54,1.64,98.26,NORMAL
2024-09-27 07:58:54,1.72,98.21,NORMAL
2024-09-27 08:13:54,1.8,98.15,NORMAL
2024-09-27 08:28:54,1.88,98.09,NORMAL
2024-09-27 08:43:54,1.97,98.02,NORMAL
2024-09-27 08:58:54,2.05,97.96,NORMAL
2024-09-27 09:13:54,2.13,80.24,ANOMALOUS
2024-09-27 09:28:54,2.22,97.84,NORMAL
2024-09-27 09:43:54,2.3,97.78,NORMAL
2024-09-27 09:58:54,2.37,97.73,NORMAL
2024-09-27 10:13:54,1.72,97.68,NORMAL
2024-09-27 10:28:54,3.21,97.63,NORMAL
2024-09-27 10:43:54,2.59,97.59,NORMAL
2024-09-27 10:58:54,2.66,97.56,NORMAL
2024-09-27 11:13:54,2.72,97.53,NORMAL
2024-09-27 11:28:54,2.77,97.52,NORMAL
2024-09-27 11:43:54,2.82,97.5,NORMAL
2024-09-27 11:58:54,2.87,97.5,NORMAL
2024-09-27 12:13:54,2.91,97.5,NORMAL
2024-09-27 12:28:54,2.94,97.52,NORMAL
2024-09-27 12:43:54,2.96,97.54,NORMAL
2024-09-27 12:58:54,2.98,86.14,ANOMALOUS
2024-09-27 13:13:54,2.99,97.6,NORMAL
2024-09-27 13:28:54,3.0,97.64,NORMAL
2024-09-27 13:43:54,3.0,97.68,NORMAL
2024-09-27 13:58:54,2.99,97.73,NORMAL
2024-09-27 14:13:54,2.97,97.79,NORMAL
2024-09-27 14:28:54,2.95,97.84,NORMAL
2024-09-27 14:43:54,2.92,97.9,NORMAL
2024-09-27 14:58:54,2.89,97.97,NORMAL
2024-09-27 15:13:54,2.85,98.03,NORMAL
2024-09-27 15:28:54,2.8,98.09,NORMAL
2024-09-27 15:43:54,2.75,98.15,NORMAL
2024-09-27 15:58:54,2.69,98.21,NORMAL
2024-09-27 16:13:54,2.62,98.27,NORMAL
2024-09-27 16:28:54,2.56,98.32,NORMAL
2024-09-27 16:43:54,2.49,98.36,NORMAL
2024-09-27 16:58:54,2.41,98.4,NORMAL
2024-09-27 17:13:54,2.33,98.44,NORMAL
2024-09-27 17:28:54,2.26,98.46,NORMAL
2024-09-27 17:43:54,2.17,98.48,NORMAL
2024-09-27 17:58:54,2.09,98.5,NORMAL
2024-09-27 18:13:54,2.01,98.5,NORMAL
2024-09-27 18:28:54,1.92,98.5,NORMAL
2024-09-27 18:43:54,1.84,98.49,NORMAL
2024-09-27 18:58:54,1.76,98.47,NORMAL
2024-09-27 19:13:54,1.68,98.44,NORMAL
2024-09-27 19:28:54,1.6,98.41,NORMAL
2024-09-27 19:43:54,1.53,98.37,NORMAL
2024-09-27 19:58:54,1.46,98.33,NORMAL
2024-09-27 20:13:54,1.39,98.28,NORMAL
2024-09-27 20:28:54,1.32,98.22,NORMAL
2024-09-27 20:43:54,1.27,98.16,NORMAL
2024-09-27 20:58:54,1.21,98.1,NORMAL
2024-09-27 21:13:54,1.16,98.04,NORMAL
2024-09-27 21:28:54,1.12,97.98,NORMAL
2024-09-27 21:43:54,1.08,97.92,NORMAL
2024-09-27 21:58:54,1.05,97.86,NORMAL
2024-09-27 22:13:54,1.03,97.8,NORMAL
2024-09-27 22:28:54,1.01,97.74,NORMAL
2024-09-27 22:43:54,1.0,120.16,ANOMALOUS
2024-09-27 22:58:54,1.0,97.64,NORMAL
2024-09-27 23:13:54,1.0,97.6,NORMAL
2024-09-27 23:28:54,1.01,97.57,NORMAL
2024-09-27 23:43:54,1.03,97.54,NORMAL
2024-09-27 23:58:54,1.06,97.52,NORMAL
2024-09-28 00:13:54,1.09,97.51,NORMAL
2024-09-28 00:28:54,1.12,97.5,NORMAL
2024-09-28 00:43:54,1.17,97.5,NORMAL
2024-09-28 00:58:54,1.22,97.51,NORMAL
2024-09-28 01:13:54,1.27,97.53,NORMAL
2024-09-28 01:28:54,1.33,97.55,NORMAL
2024-09-28 01:43:54,1.4,97.59,NORMAL
2024-09-28 01:58:54,1.46,97.62,NORMAL
2024-09-28 02:13:54,1.54,97.67,NORMAL
2024-09-28 02:28:54,1.61,97.72,NORMAL
2024-09-28 02:43:54,1.69,97.77,NORMAL
2024-09-28 02:58:54,1.77,97.83,NORMAL
2024-09-28 03:13:54,1.85,97.89,NORMAL
2024-09-28 03:28:54,1.93,118.47,ANOMALOUS
2024-09-28 03:43:54,2.02,98.01,NORMAL
2024-09-28 03:58:54,2.1,98.07,NORMAL
2024-09-28 04:13:54,2.18,98.14,NORMAL
2024-09-28 04:28:54,2.26,98.19,NORMAL
2024-09-28 04:43:54,2.34,98.25,NORMAL
2024-09-28 04:58:54,2.42,98.3,NORMAL
2024-09-28 05:13:54,2.46,98.35,NORMAL
2024-09-28 05:28:54,2.56,98.39,NORMAL
2024-09-28 05:43:54,2.63,98.43,NORMAL
2024-09-28 05:58:54,2.69,98.46,NORMAL
2024-09-28 06:13:54,2.75,98.48,NORMAL
2024-09-28 06:28:54,2.8,98.49,NORMAL
2024-09-28 06:43:54,2.85,98.5,NORMAL
2024-09-28 06:58:54,2.89,98.5,NORMAL
2024-09-28 07:13:54,2.93,98.49,NORMAL
2024-09-28 07:28:54,2.95,98.47,NORMAL
2024-09-28 07:43:54,2.98,98.45,NORMAL
2024-09-28 07:58:54,2.99,98.42,NORMAL
2024-09-28 08:13:54,3.0,98.38,NORMAL
2024-09-28 08:28:54,3.0,98.34,NORMAL
2024-09-28 08:43:54,2.99,98.29,NORMAL
2024-09-28 08:58:54,2.98,98.24,NORMAL
2024-09-28 09:13:54,2.96,125.58,ANOMALOUS
2024-09-28 09:28:54,2.7,98.12,NORMAL
2024-09-28 09:43:54,2.9,98.06,NORMAL
2024-09-28 09:58:54,2.86,98.0,NORMAL
2024-09-28 10:13:54,2.82,97.93,NORMAL
2024-09-28 10:28:54,2.77,115.02,ANOMALOUS
2024-09-28 10:43:54,2.71,97.81,NORMAL
2024-09-28 10:58:54,2.65,97.76,NORMAL
2024-09-28 11:13:54,1.72,97.7,NORMAL
2024-09-28 11:28:54,2.52,97.66,NORMAL
2024-09-28 11:43:54,2.44,97.61,NORMAL
2024-09-28 11:58:54,2.37,97.58,NORMAL
2024-09-28 12:13:54,2.29,97.55,NORMAL
2024-09-28 12:28:54,2.21,97.52,NORMAL
2024-09-28 12:43:54,2.12,97.51,NORMAL
2024-09-28 12:58:54,2.04,97.5,NORMAL
2024-09-28 13:13:54,1.96,97.5,NORMAL
2024-09-28 13:28:54,1.87,97.51,NORMAL
2024-09-28 13:43:54,1.79,97.52,NORMAL
2024-09-28 13:58:54,1.71,97.55,NORMAL
2024-09-28 14:13:54,1.63,97.58,NORMAL
2024-09-28 14:28:54,1.56,97.61,NORMAL
2024-09-28 14:43:54,1.48,97.66,NORMAL
2024-09-28 14:58:54,1.41,97.7,NORMAL
2024-09-28 15:13:54,1.35,97.76,NORMAL
2024-09-28 15:28:54,1.29,97.81,NORMAL
2024-09-28 15:43:54,1.23,97.87,NORMAL
2024-09-28 15:58:54,1.18,97.93,NORMAL
2024-09-28 16:13:54,1.14,98.0,NORMAL
2024-09-28 16:28:54,1.1,98.06,NORMAL
2024-09-28 16:43:54,1.06,98.12,NORMAL
2024-09-28 16:58:54,1.04,98.18,NORMAL
2024-09-28 17:13:54,1.02,98.24,NORMAL
2024-09-28 17:28:54,1.01,98.29,NORMAL
2024-09-28 17:43:54,1.0,98.34,NORMAL
2024-09-28 17:58:54,1.0,98.38,NORMAL
2024-09-28 18:13:54,1.01,98.42,NORMAL
2024-09-28 18:28:54,1.02,98.45,NORMAL
2024-09-28 18:43:54,1.05,98.47,NORMAL
2024-09-28 18:58:54,1.07,98.49,NORMAL
2024-09-28 19:13:54,1.11,98.5,NORMAL
2024-09-28 19:28:54,1.15,98.5,NORMAL
2024-09-28 19:43:54,0.69,98.49,NORMAL
2024-09-28 19:58:54,1.25,98.48,NORMAL
2024-09-28 20:13:54,1.31,98.46,NORMAL
2024-09-28 20:28:54,1.37,98.43,NORMAL
2024-09-28 20:43:54,1.44,98.39,NORMAL
2024-09-28 20:58:54,1.51,98.35,NORMAL
2024-09-28 21:13:54,1.58,98.3,NORMAL
2024-09-28 21:28:54,1.66,98.25,NORMAL
2024-09-28 21:43:54,1.74,98.19,NORMAL
2024-09-28 21:58:54,1.82,98.14,NORMAL
2024-09-28 22:13:54,1.9,98.07,NORMAL
2024-09-28 22:28:54,1.98,98.01,NORMAL
2024-09-28 22:43:54,2.07,97.95,NORMAL
2024-09-28 22:58:54,2.15,97.89,NORMAL
2024-09-28 23:13:54,2.23,97.83,NORMAL
2024-09-28 23:28:54,2.31,97.77,NORMAL
2024-09-28 23:43:54,2.39,97.72,NORMAL
2024-09-28 23:58:54,2.47,97.67,NORMAL
2024-09-29 00:13:54,2.54,100.12,ANOMALOUS
2024-09-29 00:28:54,2.61,97.59,NORMAL
2024-09-29 00:43:54,2.67,97.55,NORMAL
2024-09-29 00:58:54,2.73,97.53,NORMAL
2024-09-29 01:13:54,2.78,97.51,NORMAL
2024-09-29 01:28:54,2.83,97.5,NORMAL
2024-09-29 01:43:54,2.88,97.5,NORMAL
2024-09-29 01:58:54,2.91,97.51,NORMAL
2024-09-29 02:13:54,2.94,72.46,ANOMALOUS
2024-09-29 02:28:54,2.97,97.54,NORMAL
2024-09-29 02:43:54,3.95,97.57,NORMAL
2024-09-29 02:58:54,3.0,97.6,NORMAL
2024-09-29 03:13:54,3.0,97.64,NORMAL
2024-09-29 03:28:54,3.0,97.69,NORMAL
2024-09-29 03:43:54,2.99,97.74,NORMAL
2024-09-29 03:58:54,2.97,97.8,NORMAL
2024-09-29 04:13:54,2.95,97.86,NORMAL
2024-09-29 04:28:54,2.92,97.92,NORMAL
2024-09-29 04:43:54,2.88,97.98,NORMAL
2024-09-29 04:58:54,2.84,98.04,NORMAL
2024-09-29 05:13:54,2.79,98.1,NORMAL
2024-09-29 05:28:54,2.73,98.16,NORMAL
2024-09-29 05:43:54,2.68,98.22,NORMAL
2024-09-29 05:58:54,2.61,121.11,ANOMALOUS
2024-09-29 06:13:54,2.54,98.33,NORMAL
2024-09-29 06:28:54,2.47,98.37,NORMAL
2024-09-29 06:43:54,2.4,98.41,NORMAL
2024-09-29 06:58:54,2.32,98.44,NORMAL
2024-09-29 07:13:54,2.24,98.47,NORMAL
2024-09-29 07:28:54,2.16,98.49,NORMAL
2024-09-29 07:43:54,2.07,98.5,NORMAL
2024-09-29 07:58:54,1.99,98.5,NORMAL
2024-09-29 08:13:54,1.91,126.01,ANOMALOUS
2024-09-29 08:28:54,1.83,98.48,NORMAL
2024-09-29 08:43:54,1.74,98.46,NORMAL
2024-09-29 08:58:54,1.66,98.44,NORMAL
2024-09-29 09:13:54,1.59,98.4,NORMAL
2024-09-29 09:28:54,1.51,98.36,NORMAL
2024-09-29 09:43:54,1.44,98.32,NORMAL
2024-09-29 09:58:54,1.37,98.26,NORMAL
2024-09-29 10:13:54,1.31,98.21,NORMAL
2024-09-29 10:28:54,1.25,98.15,NORMAL
2024-09-29 10:43:54,1.2,98.09,NORMAL
2024-09-29 10:58:54,1.15,98.03,NORMAL
2024-09-29 11:13:54,1.11,97.97,NORMAL
2024-09-29 11:28:54,1.08,97.9,NORMAL
2024-09-29 11:43:54,1.05,97.84,NORMAL
2024-09-29 11:58:54,1.03,74.72,ANOMALOUS
2024-09-29 12:13:54,1.01,97.73,NORMAL
2024-09-29 12:28:54,1.0,97.68,NORMAL
2024-09-29 12:43:54,1.0,97.64,NORMAL
2024-09-29 12:58:54,1.01,97.6,NORMAL
2024-09-29 13:13:54,0.66,97.56,NORMAL
2024-09-29 13:28:54,1.04,97.54,NORMAL
2024-09-29 13:43:54,1.06,97.52,NORMAL
2024-09-29 13:58:54,1.09,101.69,ANOMALOUS
2024-09-29 14:13:54,1.13,97.5,NORMAL
2024-09-29 14:28:54,1.18,97.5,NORMAL
2024-09-29 14:43:54,1.23,97.52,NORMAL
2024-09-29 14:58:54,1.28,97.53,NORMAL
2024-09-29 15:13:54,1.34,97.56,NORMAL
2024-09-29 15:28:54,1.41,97.59,NORMAL
2024-09-29 15:43:54,1.48,97.63,NORMAL
2024-09-29 15:58:54,1.55,97.68,NORMAL
2024-09-29 16:13:54,1.63,105.61,ANOMALOUS
2024-09-29 16:28:54,1.71,97.78,NORMAL
2024-09-29 16:43:54,1.79,97.84,NORMAL
2024-09-29 16:58:54,1.87,97.9,NORMAL
2024-09-29 17:13:54,1.95,97.96,NORMAL
2024-09-29 17:28:54,2.03,98.03,NORMAL
2024-09-29 17:43:54,2.12,107.34,ANOMALOUS
2024-09-29 17:58:54,2.2,98.15,NORMAL
2024-09-29 18:13:54,2.28,96.12,ANOMALOUS
2024-09-29 18:28:54,1.51,98.26,NORMAL
2024-09-29 18:43:54,2.44,98.31,NORMAL
2024-09-29 18:58:54,2.51,98.36,NORMAL
2024-09-29 19:13:54,2.58,98.4,NORMAL
2024-09-29 19:28:54,2.64,98.43,NORMAL
2024-09-29 19:43:54,2.71,98.46,NORMAL
2024-09-29 19:58:54,2.76,98.48,NORMAL
2024-09-29 20:13:54,2.43,98.49,NORMAL
2024-09-29 20:28:54,2.86,98.5,NORMAL
2024-09-29 20:43:54,2.9,98.5,NORMAL
2024-09-29 20:58:54,2.93,98.49,NORMAL
2024-09-29 21:13:54,2.96,108.18,ANOMALOUS
2024-09-29 21:28:54,2.98,98.44,NORMAL
2024-09-29 21:43:54,2.99,98.41,NORMAL
2024-09-29 21:58:54,3.0,98.37,NORMAL
2024-09-29 22:13:54,3.87,98.33,NORMAL
2024-09-29 22:28:54,2.99,98.28,NORMAL
2024-09-29 22:43:54,2.98,98.22,NORMAL
