Timestamp,Temperature (°C),Status
2024-09-26 13:58:54,25.0,NORMAL
2024-09-26 14:13:54,25.1,NORMAL
2024-09-26 14:28:54,25.19,NORMAL
2024-09-26 14:43:54,25.28,NORMAL
2024-09-26 14:58:54,25.36,NORMAL
2024-09-26 15:13:54,25.42,NORMAL
2024-09-26 15:28:54,25.47,NORMAL
2024-09-26 15:43:54,25.49,NORMAL
2024-09-26 15:58:54,25.5,NORMAL
2024-09-26 16:13:54,25.49,NORMAL
2024-09-26 16:28:54,25.45,NORMAL
2024-09-26 16:43:54,29.42,NORMAL
2024-09-26 16:58:54,25.34,NORMAL
2024-09-26 17:13:54,25.26,NORMAL
2024-09-26 17:28:54,25.17,NORMAL
2024-09-26 17:43:54,25.07,NORMAL
2024-09-26 17:58:54,24.97,NORMAL
2024-09-26 18:13:54,24.87,NORMAL
2024-09-26 18:28:54,24.78,NORMAL
2024-09-26 18:43:54,24.69,NORMAL
2024-09-26 18:58:54,24.62,NORMAL
2024-09-26 19:13:54,24.56,NORMAL
2024-09-26 19:28:54,24.52,NORMAL
2024-09-26 19:43:54,24.5,NORMAL
2024-09-26 19:58:54,24.5,NORMAL
2024-09-26 20:13:54,24.52,NORMAL
2024-09-26 20:28:54,24.56,NORMAL
2024-09-26 20:43:54,24.61,NORMAL
2024-09-26 20:58:54,24.68,NORMAL
2024-09-26 21:13:54,24.77,NORMAL
2024-09-26 21:28:54,24.86,NORMAL
2024-09-26 21:43:54,24.96,NORMAL
2024-09-26 21:58:54,25.06,NORMAL
2024-09-26 22:13:54,25.16,NORMAL
2024-09-26 22:28:54,25.25,NORMAL
2024-09-26 22:43:54,25.33,NORMAL
2024-09-26 22:58:54,25.4,NORMAL
2024-09-26 23:13:54,25.45,NORMAL
2024-09-26 23:28:54,25.48,NORMAL
2024-09-26 23:43:54,25.5,NORMAL
2024-09-26 23:58:54,25.49,NORMAL
2024-09-27 00:13:54,25.47,NORMAL
2024-09-27 00:28:54,25.43,NORMAL
2024-09-27 00:43:54,25.37,NORMAL
2024-09-27 00:58:54,25.29,NORMAL
2024-09-27 01:13:54,25.21,NORMAL
2024-09-27 01:28:54,25.11,NORMAL
2024-09-27 01:43:54,25.01,NORMAL
2024-09-27 01:58:54,24.91,NORMAL
2024-09-27 02:13:54,24.82,NORMAL
2024-09-27 02:28:54,24.73,NORMAL
2024-09-27 02:43:54,24.65,NORMAL
2024-09-27 02:58:54,24.59,NORMAL
2024-09-27 03:13:54,24.54,NORMAL
2024-09-27 03:28:54,24.51,NORMAL
2024-09-27 03:43:54,24.5,NORMAL
2024-09-27 03:58:54,24.51,NORMAL
2024-09-27 04:13:54,24.54,NORMAL
2024-09-27 04:28:54,24.59,NORMAL
2024-09-27 04:43:54,24.65,NORMAL
2024-09-27 04:58:54,24.73,NORMAL
2024-09-27 05:13:54,24.82,NORMAL
2024-09-27 05:28:54,24.92,NORMAL
2024-09-27 05:43:54,25.02,NORMAL
2024-09-27 05:58:54,25.12,NORMAL
2024-09-27 06:13:54,25.21,NORMAL
2024-09-27 06:28:54,25.3,NORMAL
2024-09-27 06:43:54,25.37,NORMAL
2024-09-27 06:58:54,22.04,NORMAL
2024-09-27 07:13:54,25.47,NORMAL
2024-09-27 07:28:54,25.5,NORMAL
2024-09-27 07:43:54,25.5,NORMAL
2024-09-27 07:58:54,25.48,NORMAL
2024-09-27 08:13:54,25.45,NORMAL
2024-09-27 08:28:54,25.39,NORMAL
2024-09-27 08:43:54,25.33,NORMAL
2024-09-27 08:58:54,25.24,NORMAL
2024-09-27 09:13:54,25.15,NORMAL
