Timestamp,pH,Conductivity (µS/cm),Chlorine (ppm),Status
2024-09-26 13:55:29,7.5,200.0,1.0,NORMAL
2024-09-26 14:10:29,7.51,201.99,1.01,NORMAL
2024-09-26 14:25:29,7.52,243.31,1.01,ANOMALOUS
2024-09-26 14:40:29,7.53,205.65,1.02,NORMAL
2024-09-26 14:55:29,7.54,207.17,1.03,NORMAL
2024-09-26 15:10:29,7.55,208.41,1.03,NORMAL
2024-09-26 15:25:29,7.56,209.32,1.04,NORMAL
2024-09-26 15:40:29,7.56,209.85,1.04,NORMAL
2024-09-26 15:55:29,7.57,210.0,1.05,NORMAL
2024-09-26 16:10:29,7.58,209.74,1.05,NORMAL
2024-09-26 16:25:29,7.58,209.09,1.05,NORMAL
2024-09-26 16:40:29,7.59,208.08,1.05,NORMAL
2024-09-26 16:55:29,7.59,206.75,1.05,NORMAL
2024-09-26 17:10:29,7.6,205.16,1.05,NORMAL
2024-09-26 17:25:29,7.6,203.35,1.05,NORMAL
2024-09-26 17:40:29,7.6,201.41,1.04,NORMAL
2024-09-26 17:55:29,7.6,199.42,1.04,NORMAL
2024-09-26 18:10:29,7.6,201.41,1.1,NORMAL
2024-09-26 18:25:29,7.6,195.57,1.03,NORMAL
2024-09-26 18:40:29,7.59,193.88,1.02,NORMAL
2024-09-26 18:55:29,7.59,192.43,1.01,NORMAL
2024-09-26 19:10:29,7.59,191.28,1.01,NORMAL
2024-09-26 19:25:29,7.58,190.48,1.0,NORMAL
2024-09-26 19:40:29,7.57,205.69,0.99,NORMAL
2024-09-26 19:55:29,7.57,190.04,0.99,NORMAL
2024-09-26 20:10:29,7.56,190.41,1.25,ANOMALOUS
2024-09-26 20:25:29,7.55,191.17,0.97,NORMAL
2024-09-26 20:40:29,7.54,192.27,0.97,NORMAL
2024-09-26 20:55:29,7.53,193.69,0.96,NORMAL
2024-09-26 21:10:29,7.52,195.35,0.96,NORMAL
2024-09-26 21:25:29,7.51,197.21,0.95,NORMAL
2024-09-26 21:40:29,7.5,199.17,0.95,NORMAL
2024-09-26 21:55:29,7.49,201.17,0.95,NORMAL
2024-09-26 22:10:29,7.48,203.12,0.95,NORMAL
2024-09-26 22:25:29,7.47,204.94,0.55,ANOMALOUS
2024-09-26 22:40:29,7.46,206.57,0.95,NORMAL
2024-09-26 22:55:29,7.46,207.94,0.95,NORMAL
2024-09-26 23:10:29,7.45,208.99,0.96,NORMAL
2024-09-26 23:25:29,7.44,209.68,0.96,NORMAL
2024-09-26 23:40:29,7.43,209.99,0.97,NORMAL
2024-09-26 23:55:29,7.42,209.89,0.97,NORMAL
2024-09-27 00:10:29,7.42,209.41,0.98,NORMAL
2024-09-27 00:25:29,7.41,208.55,0.99,NORMAL
2024-09-27 00:40:29,7.41,207.34,0.99,NORMAL
2024-09-27 00:55:29,7.4,205.85,1.0,NORMAL
2024-09-27 01:10:29,7.4,204.12,1.01,NORMAL
2024-09-27 01:25:29,7.4,202.23,1.01,NORMAL
2024-09-27 01:40:29,7.4,200.25,1.02,NORMAL
2024-09-27 01:55:29,7.4,198.26,1.03,NORMAL
2024-09-27 02:10:29,7.4,196.34,1.03,NORMAL
2024-09-27 02:25:29,7.4,194.56,0.75,ANOMALOUS
2024-09-27 02:40:29,7.41,193.0,1.04,NORMAL
2024-09-27 02:55:29,7.41,191.72,1.05,NORMAL
2024-09-27 03:10:29,7.42,190.77,1.05,NORMAL
2024-09-27 03:25:29,7.42,190.19,1.05,NORMAL
2024-09-27 03:40:29,7.43,190.0,1.05,NORMAL
2024-09-27 03:55:29,7.44,190.21,1.05,NORMAL
2024-09-27 04:10:29,7.44,190.81,1.05,NORMAL
2024-09-27 04:25:29,7.45,191.77,1.05,NORMAL
2024-09-27 04:40:29,7.46,193.06,1.04,NORMAL
2024-09-27 04:55:29,7.47,194.63,1.04,NORMAL
2024-09-27 05:10:29,7.48,196.42,1.03,NORMAL
2024-09-27 05:25:29,7.49,198.34,1.03,NORMAL
2024-09-27 05:40:29,7.5,200.34,1.02,NORMAL
2024-09-27 05:55:29,7.51,202.32,1.01,NORMAL
2024-09-27 06:10:29,7.52,204.2,1.01,NORMAL
2024-09-27 06:25:29,7.53,205.92,1.0,NORMAL
2024-09-27 06:40:29,7.54,207.4,0.99,NORMAL
2024-09-27 06:55:29,7.55,208.59,0.99,NORMAL
2024-09-27 07:10:29,7.56,209.44,0.98,NORMAL
2024-09-27 07:25:29,7.57,209.91,0.97,NORMAL
2024-09-27 07:40:29,7.57,209.98,0.97,NORMAL
2024-09-27 07:55:29,7.58,209.66,0.96,NORMAL
2024-09-27 08:10:29,7.59,208.95,0.96,NORMAL
2024-09-27 08:25:29,7.59,207.88,0.95,NORMAL
2024-09-27 08:40:29,7.59,206.5,0.95,NORMAL
2024-09-27 08:55:29,7.6,204.86,1.14,NORMAL
